class,func
None,read_keys
None,read_values
None,convert_mbcs
None,get_build_version
None,get_build_architecture
None,normalize_and_reduce_paths
MacroExpander,set_macro
MacroExpander,load_macros
MacroExpander,sub
MSVCCompiler,initialize
MSVCCompiler,object_filenames
MSVCCompiler,compile
MSVCCompiler,create_static_lib
MSVCCompiler,link
MSVCCompiler,library_dir_option
MSVCCompiler,runtime_library_dir_option
MSVCCompiler,library_option
MSVCCompiler,find_library_file
MSVCCompiler,find_exe
MSVCCompiler,get_msvc_paths
MSVCCompiler,set_path_env_var
